"","id","author","date","stars","review_format","word_count","sd","ave_sentiment"
"1",1,"Prime Members - The G Family","September 4, 2017",5,"Format: Blu-rayVerified Purchase",254,0.348861182074935,0.354358104353515
"2",2,"Deik017","June 19, 2017",5,"Format: Prime Video",730,0.341725140739372,0.242913784139907
"3",3,"Nugchompa","September 19, 2017",5,"Format: Blu-rayVerified Purchase",211,0.292836619347626,0.161101821497514
"4",4,"Trekker Tree","June 5, 2017",5,"Format: Prime VideoVerified Purchase",202,0.239466586821822,0.0669421326697899
"5",5,"Amazon Customer","September 7, 2017",5,"Format: Prime VideoVerified Purchase",265,0.329093202171669,0.2018869883601
"6",6,"Mike R","September 19, 2017",4,"Format: Blu-rayVerified Purchase",626,0.35237036522828,0.0141758137999199
"7",7,"Janice Yeh","October 18, 2017",5,"Format: Blu-rayVerified Purchase",202,0.390983185419445,0.37579078123055
"8",8,"Marvelous Cilantron","September 27, 2017",5,"Format: Blu-rayVerified Purchase",442,0.168927097633258,0.0293361115405621
"9",9,"James Morris","October 16, 2017",5,"Format: Blu-rayVerified Purchase",411,0.278345919147026,0.212804540977779
"10",10,"clairetoldmetochangemyscreenname","September 20, 2017",5,"Format: Blu-rayVerified Purchase",320,0.340845341996967,0.080687480672011
"11",11,"CPHT","September 24, 2017",5,"Format: Blu-rayVerified Purchase",514,0.403085563322649,0.278656838082314
"12",12,"Sandra S","September 6, 2017",5,"Format: Prime VideoVerified Purchase",78,0.128065458230708,0.161867678595489
"13",13,"Avi","September 18, 2017",5,"Format: Prime VideoVerified Purchase",211,0.436317136548449,0.188338279601995
"14",14,"Rob vH","September 19, 2017",4,"Format: Blu-rayVerified Purchase",86,0.265232860307067,0.0183223354856803
"15",15,"Stanley J666","September 21, 2017",5,"Format: Blu-rayVerified Purchase",218,0.341409646432441,0.339946284511382
"16",16,"BAJ","December 23, 2017",5,"Format: Blu-rayVerified Purchase",188,0.350766134116401,0.292541225319303
